Rep,Mazur k,Mazur R^2,Mazur Sy.x,Mazur Residuals,Myerson & Green k,Myerson & Green s,Myerson & Green R^2,Myerson & Green Sy.x,Myerson & Green Residuals,Rachlin k,Rachlin s,Rachlin R^2,Rachlin Sy.x,Rachlin Residuals
1,0.03844750966311039,0.9349714424678434,8.575628826651885,"[13.63975518 -1.52032502 -6.69576398 -9.61763867 -8.62008317  4.21639507
  6.39933919  7.48785461]",0.038560820316342365,0.9980670368385748,0.9349717911756649,8.575605833731787,"[13.66542797 -1.50156077 -6.68771063 -9.61908538 -8.62914718  4.20138928
  6.37972965  7.46467824]",0.03194806016626696,1.0521354129012719,0.9367733727694214,8.455979528059816,"[11.20144681 -2.86729039 -7.06611543 -9.29505961 -7.82217503  5.33983835
  7.74643924  8.98863874]"
2,0.033550589565200774,0.9023557617550151,11.499106454493553,"[ 16.09443989  -3.65605449   7.47801536 -12.35203289  -3.75579902
 -16.55677265   7.55078055   9.97336206]",0.02411819669409236,1.2589356849915445,0.9054580410274422,11.314961541087603,"[ 13.59004846  -5.72356714   6.41598014 -12.41658128  -2.9656051
 -15.06846686   9.59883325  12.4668539 ]",0.02098821395661774,1.130065766449329,0.9114756045182255,10.94894485799014,"[ 10.2403393   -7.28531546   6.19797109 -11.85047819  -1.98320789
 -13.88981456  10.84529627  13.70715841]"
3,0.029748802242022608,0.8614113691040208,10.98931758127715,"[ -9.16834009 -16.78890813   2.10303308   6.86737182 -10.46632405
   2.59585051  14.89752348   9.46718974]",0.0933534628123822,0.5073045753308865,0.9336983553971079,7.600970948694135,"[  2.97866769  -7.75620335   6.6161823    7.35789351 -13.27861923
  -2.88165496   7.26946315   0.09455197]",0.07075389390726815,0.7632487887699697,0.930512263566438,7.781458478814733,"[  4.43242798  -8.5250033    5.47387537   6.48774121 -13.65575071
  -2.70596519   7.99335022   1.3364329 ]"
4,0.028314888298515736,0.9533012978666895,7.624178384730383,"[ 6.84010591 -6.41779327 -6.63292459  0.30512899  7.39375599 -1.3563358
 11.09373348 -9.75984445]",0.03027656994007336,0.9553289545974347,0.953437179481562,7.613078072117379,"[  7.38696787  -5.93875173  -6.35503573   0.37266923   7.27419193
  -1.63388041  10.68538385 -10.27571967]",0.028625203654628784,0.9970374857162694,0.9533075944519417,7.623664367152625,"[ 6.98711136 -6.31990816 -6.59009536  0.30364119  7.35872941 -1.41639297
 11.0150183  -9.85249175]"
5,0.027614318117460162,0.8132049783638868,12.083076576819582,"[-14.69098423   2.62696451 -13.30007221 -11.47612615   8.89162639
   4.33603445   2.92811659  19.60228923]",0.10124185259807326,0.46393261778425354,0.9091864524914981,8.42500562853737,"[ -1.65256148  12.471446    -8.24270572 -10.74931207   6.01566604
  -1.48102029  -5.28733366   9.42176471]",0.07334364068391627,0.7343603917468091,0.9031220896672233,8.701763192583059,"[ -0.03132293  11.75585762  -9.38416042 -11.64176844   5.61194714
  -1.323504    -4.56469225  10.68495863]"
6,0.02880384851644613,0.9530885071619621,6.890555326921836,"[ -6.4297059   -5.21190815   7.29732529   2.10906017 -10.69152871
   4.66620916  -1.17715309   8.28770715]",0.04494966377099588,0.7487985427758481,0.9605718186051766,6.317103179044772,"[ -2.43836232  -1.89325408   9.13833366   2.49471815 -11.56146435
   2.75478702  -3.94200438   4.82514846]",0.04107282924881679,0.9035562398039706,0.9612172695120436,6.2651833997556245,"[ -1.42429745  -1.98178646   8.69549123   2.06051044 -11.83145578
   2.70853509  -3.74938448   5.25137099]"
7,0.032469634390161095,0.921474173724012,8.166489780120196,"[ -1.2295917  -11.48857267  -3.41116239  -7.64061804   6.16673751
   2.51953982   3.82874304  14.29302665]",0.07787783879429055,0.5887840598773605,0.9638463219844555,5.5412201957975675,"[ 7.48671811 -5.12639447 -0.40935468 -7.59134263  3.82328671 -1.72972523
 -1.93847322  7.31038831]",0.06150722893780144,0.8236853600676228,0.9558161658970018,6.1257725195031885,"[ 8.1253101  -6.00936679 -1.40186585 -8.22377127  3.68866349 -1.34945846
 -1.07055331  8.62400525]"
8,0.028574207002548258,0.934404756233403,7.306711463736484,"[ -8.02927167 -11.50513352   5.62713713  -2.85434724  -2.80049767
   3.18718194   9.07954319   6.05210171]",0.0703078520342598,0.5742706421100726,0.974014405831993,4.598880326114201,"[ 0.49154996 -4.81068268  9.17247536 -2.24652918 -4.66436634 -0.70139995
  3.54102289 -0.83384451]",0.05685916653278905,0.8128189079515683,0.9734915272657051,4.644918904060616,"[ 1.80891548 -5.31209817  8.27537497 -2.97869217 -5.02209723 -0.61858768
  4.06979455  0.12067367]"
9,0.02451215111765504,0.6674956592729511,14.388498636974672,"[-24.2711987   -1.58500909 -11.08101454  -8.80766504   7.00127968
   7.5891146    1.26089785  23.43144518]",0.159236686693558,0.349037656264736,0.8963691954963358,8.03269459334252,"[-5.19457858 12.67354946 -3.52103262 -7.27180729  3.49226319 -0.08340343
 -9.8505579   9.46327496]",0.09629252853407443,0.6315613093123851,0.8962528602656603,8.037202052627043,"[-3.18750009e+00  1.18979134e+01 -4.79848877e+00 -8.30324513e+00
  2.97469948e+00  2.02092218e-03 -9.14674808e+00  1.07691505e+01]"
10,0.02955333586725503,0.8039508673146178,11.583703419770027,"[-12.52793833  -7.29223904 -16.63562048   2.9932188    5.67825787
  -0.65699947  12.79237009  15.72027622]",0.1274511666729926,0.4336763463260322,0.9474853810865727,5.995219331295196,"[  2.7214756    3.59440583 -11.3917134    3.36010683   2.09039075
  -7.41860592   3.47461707   4.32811022]",0.08844011468525909,0.7001269830036877,0.938350570014599,6.495752957167937,"[  4.29333708   2.75558215 -12.58991555   2.46131573   1.70844637
  -7.22621508   4.23628489   5.6294349 ]"
