Rep,LLDelay,IndiffPt
1,5.0,15.635563556355635
1,10.0,53.955395539553955
1,20.0,98.84788478847885
1,30.0,123.13881388138815
1,40.0,139.38443844384437
1,50.0,148.2048204820482
1,60.0,142.9032903290329
1,70.0,146.6856685668567
1,80.0,150.43704370437044
2,5.0,15.558055805580558
2,10.0,47.05720572057206
2,20.0,95.62356235623562
2,30.0,103.66886688668868
2,40.0,137.1832183218322
2,50.0,138.84188418841885
2,60.0,159.61396139613962
2,70.0,141.88018801880187
2,80.0,144.67046704670466
3,5.0,15.558055805580558
3,10.0,74.78947894789479
3,20.0,114.14791479147915
3,30.0,117.01570157015702
3,40.0,128.09930993099312
3,50.0,157.49024902490248
3,60.0,153.9093909390939
3,70.0,149.25892589258925
3,80.0,160.99359935993598
4,5.0,36.98119811981198
4,10.0,54.35843584358436
4,20.0,97.11171117111711
4,30.0,117.79077907790779
4,40.0,125.88258825882588
4,50.0,130.3005300530053
4,60.0,148.14281428142814
4,70.0,143.05830583058307
4,80.0,170.0
5,5.0,31.91219121912191
5,10.0,76.18461846184618
5,20.0,88.81838183818383
5,30.0,125.65006500650065
5,40.0,139.24492449244923
5,50.0,130.7190719071907
5,60.0,144.65496549654966
5,70.0,153.67686768676867
5,80.0,143.3063306330633
6,5.0,72.29372937293729
6,10.0,68.27882788278828
6,20.0,96.78617861786178
6,30.0,104.81598159815982
6,40.0,125.04550455045505
6,50.0,149.33643364336433
6,60.0,143.04280428042804
6,70.0,156.2191219121912
6,80.0,152.80878087808782
7,5.0,30.145014501450145
7,10.0,66.52715271527153
7,20.0,107.28072807280728
7,30.0,119.66646664666466
7,40.0,138.57835783578358
7,50.0,135.8190819081908
7,60.0,148.08080808080808
7,70.0,153.67686768676867
7,80.0,148.87138713871389
8,5.0,54.52895289528953
8,10.0,68.991899189919
8,20.0,101.71567156715672
8,30.0,104.83148314831483
8,40.0,128.16131613161315
8,50.0,139.46194619461946
8,60.0,142.43824382438243
8,70.0,143.8023802380238
8,80.0,152.8242824282428
9,5.0,57.08670867086709
9,10.0,82.94329432943294
9,20.0,89.56245624562456
9,30.0,120.08500850085008
9,40.0,133.63336333633362
9,50.0,130.16101610161016
9,60.0,139.46194619461946
9,70.0,153.8938893889389
9,80.0,138.48534853485347
10,5.0,58.016801680168015
10,10.0,76.06060606060606
10,20.0,101.32813281328133
10,30.0,131.6181618161816
10,40.0,127.26222622262226
10,50.0,136.2066206620662
10,60.0,151.69266926692669
